label,n,scheme,micro_f1,micro_k,MAP,MRR,R-P,P@5,R@5,F1@5,NDCG@5,MAP@5,MicroF1@5,P@6,R@6,F1@6,NDCG@6,MAP@6,MicroF1@6,P@7,R@7,F1@7,NDCG@7,MAP@7,MicroF1@7,P@8,R@8,F1@8,NDCG@8,MAP@8,MicroF1@8,P@9,R@9,F1@9,NDCG@9,MAP@9,MicroF1@9,P@10,R@10,F1@10,NDCG@10,MAP@10,MicroF1@10,P@11,R@11,F1@11,NDCG@11,MAP@11,MicroF1@11,P@15,R@15,F1@15,NDCG@15,MAP@15,MicroF1@15,P@20,R@20,F1@20,NDCG@20,MAP@20,MicroF1@20
tfidf  n=8   scheme=binary     min_df=2  max_df=0.95,8,binary,44.8735,9,58.9076,78.8159,54.4871,51.3675,50.5893,42.3591,67.9273,59.9776,41.4197,48.433,54.8931,42.9638,68.0577,59.5108,43.3535,45.4823,57.7392,42.6871,67.901,58.7302,44.1874,43.109,61.6092,42.6211,68.2144,58.2549,44.7463,40.8357,64.169,42.0634,68.1934,57.7288,44.7683,38.3333,65.342,40.8236,67.9293,57.2211,44.0029,36.1305,66.7551,39.7726,67.914,56.9275,43.1354,29.2023,70.4713,35.4378,68.2119,56.6165,39.0327,24.0598,73.3937,31.5098,69.1005,57.1257,35.0397
tfidf  n=10  scheme=binary     min_df=2  max_df=0.95,10,binary,44.8458,8,58.3871,77.7727,54.1503,51.1111,50.2539,42.0915,67.2668,59.4105,41.213,48.1481,54.3027,42.5947,67.3244,58.8132,43.0985,45.3602,57.6965,42.6036,67.3852,58.1351,44.0688,43.109,61.6572,42.6407,67.784,57.7743,44.7463,40.6933,63.5899,41.8581,67.5615,57.1474,44.6122,38.2479,65.24,40.7297,67.4447,56.7091,43.9048,35.8586,66.6987,39.5247,67.3432,56.2579,42.8108,29.2023,70.4212,35.4176,67.7717,56.1091,39.0327,24.1239,73.6522,31.6154,68.7724,56.6643,35.133
tfidf  n=8   scheme=log        min_df=2  max_df=0.95,8,log,44.7346,8,59.7105,80.1349,55.106,51.7949,51.055,42.7889,68.8784,61.1631,41.7643,48.2906,54.9293,42.8272,68.659,60.1154,43.226,45.2991,58.2088,42.5726,68.5904,59.358,44.0095,43.0021,61.6837,42.5179,68.815,58.9328,44.6354,40.6933,64.3612,41.9348,68.8204,58.4079,44.6122,38.5897,66.1912,41.1888,68.8745,58.1325,44.2973,36.1694,67.3363,39.868,68.7151,57.6804,43.1818,29.6866,71.3888,35.9744,69.2795,57.6198,39.6801,24.2094,74.1609,31.738,70.0269,58.0505,35.2575
tfidf  n=6   scheme=log        min_df=2  max_df=0.95,6,log,44.7169,9,59.5181,80.2778,55.1051,51.8803,51.1028,42.8049,68.8846,61.1226,41.8332,48.433,55.1173,42.9916,68.7071,60.1179,43.3535,45.2991,58.2149,42.5591,68.5491,59.257,44.0095,42.7885,61.1246,42.2141,68.518,58.6597,44.4136,40.6933,64.2287,41.8712,68.7257,58.2611,44.6122,38.4188,65.821,40.9333,68.644,57.8799,44.1011,36.0528,67.1962,39.7587,68.5474,57.4935,43.0427,29.5157,70.7698,35.7541,68.9808,57.3352,39.4516,24.1239,74.3016,31.6602,69.9251,57.7997,35.133
tfidf  n=5   scheme=augmented  min_df=2  max_df=0.95,5,augmented,44.6791,8,59.8433,79.1507,55.6566,51.7949,51.2425,42.764,68.774,61.0617,41.7643,48.8604,55.9218,43.446,69.0133,60.485,43.7361,45.6044,58.7727,42.9749,68.7269,59.5828,44.306,42.9487,61.3728,42.4475,68.5976,58.885,44.58,40.5033,63.8475,41.7327,68.4717,58.2205,44.404,38.547,65.7268,41.0724,68.6126,58.0627,44.2482,36.519,67.1243,40.1309,68.6786,57.923,43.5993,29.5442,70.5819,35.8194,68.9008,57.5596,39.4897,24.359,74.3295,31.9167,70.0031,58.1729,35.4753
tfidf  n=5   scheme=binary     min_df=2  max_df=0.95,5,binary,44.5604,9,59.5964,79.1592,55.2854,51.7094,50.8483,42.6359,68.6057,60.89,41.6954,48.6467,54.9642,43.1544,68.612,60.2955,43.5448,45.2381,57.8923,42.5481,68.2747,59.1795,43.9502,42.7885,61.3886,42.2673,68.4594,58.6474,44.4136,40.5508,63.878,41.7681,68.4374,58.1481,44.456,38.5043,65.5843,41.0066,68.4886,57.9084,44.1992,36.4025,66.954,40.0084,68.5213,57.7089,43.4601,29.4017,70.6737,35.6461,68.7885,57.3488,39.2993,24.0812,73.525,31.5451,69.5998,57.8266,35.0708
tfidf  n=4   scheme=augmented  min_df=2  max_df=0.95,4,augmented,44.4577,7,59.7426,79.2645,55.142,52.5641,51.919,43.4445,69.2579,61.5355,42.3846,48.8604,56.0616,43.5381,69.0097,60.4524,43.7361,45.6654,58.7658,43.0118,68.7303,59.5971,44.3654,42.735,61.117,42.2429,68.3999,58.6921,44.3582,40.2184,63.1975,41.4238,68.1467,57.9701,44.0916,38.2479,65.0516,40.7658,68.2536,57.7415,43.9048,36.3636,66.6259,39.9625,68.4298,57.6837,43.4137,29.5726,70.9288,35.8964,68.9296,57.4922,39.5278,24.2735,74.2729,31.8178,69.8906,58.0365,35.3509
tfidf  n=3   scheme=binary     min_df=2  max_df=0.95,3,binary,44.4568,8,59.1286,79.6324,54.486,51.8803,51.1416,42.8065,68.6626,60.9068,41.8332,48.3618,55.0364,43.0068,68.4056,59.8242,43.2898,45.2381,58.3694,42.71,68.3001,58.986,43.9502,42.735,61.288,42.3168,68.2894,58.3347,44.3582,40.3134,63.2901,41.5089,68.0742,57.7242,44.1957,38.2479,65.3469,40.8248,68.211,57.5066,43.9048,36.1694,66.5139,39.7539,68.1961,57.2248,43.1818,29.2593,70.343,35.4901,68.5205,56.949,39.1089,23.8675,73.207,31.3069,69.2776,57.3312,34.7596
tfidf  n=3   scheme=augmented  min_df=2  max_df=0.95,3,augmented,44.4568,8,59.6725,79.7353,54.9951,52.3077,51.9963,43.299,69.2832,61.4517,42.1778,48.8604,56.2018,43.4974,69.2117,60.5293,43.7361,45.6044,59.0785,43.0937,68.9174,59.6187,44.306,42.735,61.1968,42.2664,68.56,58.7737,44.3582,40.4558,63.5521,41.6922,68.4878,58.2378,44.3519,38.2906,65.3608,40.8619,68.5224,57.9589,43.9539,36.1305,66.3887,39.7023,68.4278,57.5875,43.1354,29.3732,70.2242,35.6238,68.8324,57.4075,39.2612,24.2308,73.9857,31.7982,69.9467,58.0158,35.2886
tfidf  n=4   scheme=binary     min_df=2  max_df=0.95,4,binary,44.2995,9,59.4764,79.3481,54.9484,52.0513,51.1551,42.9605,68.8025,61.0921,41.9711,48.5755,55.0076,43.1673,68.5564,60.1306,43.481,45.4823,58.5849,42.8393,68.5522,59.3308,44.1874,42.5748,60.9667,42.1041,68.2269,58.4538,44.1918,40.3134,63.1927,41.4711,68.1292,57.8923,44.1957,38.3333,65.3124,40.9031,68.3051,57.7056,44.0029,36.2471,66.4016,39.8087,68.2651,57.4789,43.2746,29.4302,70.7652,35.703,68.7469,57.2609,39.3374,24.0812,73.8615,31.5802,69.6202,57.7432,35.0708
tfidf  n=5   scheme=log        min_df=2  max_df=0.95,5,log,44.2901,8,59.2962,80.0348,55.4726,51.8803,51.2743,42.9449,68.8051,60.912,41.8332,48.3618,54.5597,42.832,68.4478,59.9234,43.2898,44.8718,57.5591,42.1934,68.0863,58.8926,43.5943,42.5748,60.5067,41.938,68.1773,58.3491,44.1918,40.1235,62.9236,41.2258,68.0112,57.6422,43.9875,38.4188,66.1804,41.0086,68.6055,57.7221,44.1011,36.1694,67.2284,39.8,68.478,57.3593,43.1818,29.4587,70.9391,35.7165,68.8796,57.1638,39.3755,24.0385,73.7675,31.5461,69.639,57.5324,35.0086
tfidf  n=4   scheme=log        min_df=2  max_df=0.95,4,log,44.0908,9,59.0602,79.6009,54.7933,52.0513,51.2534,42.9189,68.8215,61.0467,41.9711,48.433,54.6776,42.8733,68.4164,59.909,43.3535,45.0549,57.9597,42.4296,68.1801,58.9451,43.7722,42.1474,60.857,41.751,67.9711,58.0176,43.7483,40.1235,63.3302,41.3693,68.0131,57.5753,43.9875,38.1624,65.977,40.7643,68.3604,57.4723,43.8067,36.1305,67.2394,39.7769,68.3704,57.2083,43.1354,29.3162,70.8011,35.5648,68.6769,56.9095,39.1851,23.8675,73.5169,31.3313,69.3814,57.262,34.7596
tfidf  n=2   scheme=augmented  min_df=2  max_df=0.95,2,augmented,43.9343,9,58.7579,79.3709,54.7404,51.453,51.2723,42.575,68.6185,60.668,41.4886,47.5783,54.5993,42.2968,68.0629,59.3373,42.5885,44.8718,58.1718,42.3163,68.208,58.9615,43.5943,42.2009,61.0635,41.9208,68.121,58.1977,43.8037,39.981,63.3249,41.3209,68.0471,57.6323,43.8313,38.1197,65.523,40.7723,68.3061,57.5302,43.7577,35.8586,66.6134,39.5835,68.1781,57.1753,42.8108,28.9744,70.0452,35.1787,68.4064,56.7849,38.7281,23.3761,72.5313,30.7614,68.9425,56.9477,34.0439
