model,_micro_f1,_micro_k,MAP,MRR,R-Precision,P@5,R@5,F1@5,NDCG@5,MAP@5,MicroF1@5,P@6,R@6,F1@6,NDCG@6,MAP@6,MicroF1@6,P@7,R@7,F1@7,NDCG@7,MAP@7,MicroF1@7,P@8,R@8,F1@8,NDCG@8,MAP@8,MicroF1@8,P@9,R@9,F1@9,NDCG@9,MAP@9,MicroF1@9,P@10,R@10,F1@10,NDCG@10,MAP@10,MicroF1@10,P@11,R@11,F1@11,NDCG@11,MAP@11,MicroF1@11,P@15,R@15,F1@15,NDCG@15,MAP@15,MicroF1@15,P@20,R@20,F1@20,NDCG@20,MAP@20,MicroF1@20
Baseline TF-IDF (orig docs),44.0908,9,59.0602,79.6009,54.7933,52.0513,51.2534,42.9189,68.8215,61.0467,41.9711,48.433,54.6776,42.8733,68.4164,59.909,43.3535,45.0549,57.9597,42.4296,68.1801,58.9451,43.7722,42.1474,60.857,41.751,67.9711,58.0176,43.7483,40.1235,63.3302,41.3693,68.0131,57.5753,43.9875,38.1624,65.977,40.7643,68.3604,57.4723,43.8067,36.1305,67.2394,39.7769,68.3704,57.2083,43.1354,29.3162,70.8011,35.5648,68.6769,56.9095,39.1851,23.8675,73.5169,31.3313,69.3814,57.262,34.7596
I-grid: Fusion Prec×1 Ratio×2 Fact×1 Arg×1,39.6777,8,50.078,75.5385,46.5119,46.7521,44.9586,38.0509,61.3612,52.3678,37.6981,43.2336,48.3661,38.0637,60.8509,50.9475,38.6994,40.293,51.4442,37.6297,60.676,49.9802,39.1459,38.141,53.9072,37.3253,60.6248,49.432,39.5897,35.0902,54.8629,35.8911,59.7334,48.1638,38.4695,32.9915,56.3135,35.061,59.5734,47.6882,37.871,31.0023,57.2161,33.994,59.4162,47.2889,37.013,25.9259,62.9033,31.4111,60.6665,47.593,34.6535,21.2393,66.8875,27.9436,61.6853,47.9019,30.932
I-ngram: Fusion Prec×1+Rati×2+Fact×1+Argu×1  n=4,39.6777,8,50.078,75.5385,46.5119,46.7521,44.9586,38.0509,61.3612,52.3678,37.6981,43.2336,48.3661,38.0637,60.8509,50.9475,38.6994,40.293,51.4442,37.6297,60.676,49.9802,39.1459,38.141,53.9072,37.3253,60.6248,49.432,39.5897,35.0902,54.8629,35.8911,59.7334,48.1638,38.4695,32.9915,56.3135,35.061,59.5734,47.6882,37.871,31.0023,57.2161,33.994,59.4162,47.2889,37.013,25.9259,62.9033,31.4111,60.6665,47.593,34.6535,21.2393,66.8875,27.9436,61.6853,47.9019,30.932
H-ngram: BM25F Prec×1+Rati×1+Fact×1+Argu×1  n=9,39.5665,8,48.0904,74.3942,45.6943,46.7521,44.8039,37.9642,61.1118,52.4866,37.6981,43.3761,48.2845,37.9851,60.6763,51.1934,38.8269,40.4762,51.0364,37.6655,60.3763,50.2182,39.3238,38.0342,53.8132,37.1939,60.2585,49.3973,39.4788,35.3751,55.1663,36.0831,59.641,48.3141,38.7819,33.2906,56.42,35.1691,59.4533,47.8658,38.2144,31.1966,57.1907,34.0045,59.2161,47.4515,37.2449,24.8718,60.7352,30.0047,59.275,46.7532,33.2445,20.1709,63.4525,26.3974,59.8688,46.8617,29.3761
I-grid: Fusion Prec×1 Ratio×3 Fact×1 Arg×1,39.511,8,50.1678,75.8137,47.2183,46.3248,44.3893,37.5603,61.0999,52.2948,37.3535,43.3761,48.6827,38.0903,61.0752,51.1119,38.8269,40.3541,51.3604,37.6277,60.7448,50.0853,39.2052,37.9808,53.5813,37.1746,60.5009,49.2817,39.4233,35.4226,55.135,36.2306,59.9802,48.3595,38.8339,33.3761,56.5988,35.4195,59.8565,47.9746,38.3125,31.5074,58.1598,34.6159,59.9225,47.691,37.616,26.0969,62.5933,31.53,60.7413,47.7893,34.8819,21.3462,66.9509,28.102,61.8504,48.0496,31.0876
I-grid: Fusion Prec×1 Ratio×2 Fact×1 Arg×0,39.4651,7,49.626,75.0699,46.9348,46.4957,44.3489,37.7117,60.9925,52.0377,37.4914,43.3761,47.7194,37.9227,60.6622,50.8656,38.8269,40.5372,49.9281,37.4261,60.2919,50.0418,39.3832,37.5534,51.7668,36.5111,59.6475,48.7284,38.9798,35.0902,53.4792,35.6741,59.1891,47.8805,38.4695,33.2051,55.7649,35.1608,59.3236,47.6022,38.1163,31.3908,57.3043,34.3204,59.3935,47.3344,37.4768,25.755,61.8223,31.1006,60.0836,47.2236,34.425,21.2179,66.5906,27.8766,61.3513,47.592,30.9009
I-ngram: Fusion Prec×1+Rati×2+Fact×1+Argu×1  n=5,39.4554,8,49.9156,75.0599,46.5019,46.8376,45.0084,38.0787,61.2684,52.3149,37.7671,43.1624,47.8817,37.8326,60.5311,50.7124,38.6356,40.3541,51.0082,37.6115,60.4057,49.8157,39.2052,37.9274,53.358,37.0725,60.1851,49.0373,39.3679,35.0902,54.8205,35.9165,59.5235,47.9054,38.4695,33.2051,56.3012,35.2046,59.4764,47.6075,38.1163,31.1189,57.5405,34.1715,59.3596,47.1559,37.1521,26.0114,62.9087,31.4971,60.5462,47.4632,34.7677,21.2821,66.6527,27.997,61.5006,47.7082,30.9942
H-ngram: BM25F Prec×1+Rati×1+Fact×1+Argu×1  n=8,39.3998,8,48.3293,74.4594,46.1898,46.7521,44.7379,37.9216,61.2787,52.8092,37.6981,43.3761,48.3913,38.0064,60.8869,51.5198,38.8269,40.1709,50.6715,37.3453,60.328,50.3235,39.0273,37.8739,53.7083,37.0761,60.3182,49.5471,39.3124,35.4226,55.265,36.1669,59.8299,48.5892,38.8339,33.2479,56.3352,35.1104,59.5706,48.093,38.1653,31.0412,57.0815,33.8803,59.275,47.5982,37.0594,24.8718,60.6987,30.0142,59.4319,47.0318,33.2445,20.1709,63.4582,26.4031,60.0234,47.0941,29.3761
I-ngram: Fusion Prec×1+Rati×2+Fact×1+Argu×1  n=8,39.3462,7,49.4438,74.7882,46.6692,47.3504,45.3181,38.4252,61.3795,52.4161,38.1806,43.7322,48.1816,38.1991,60.6932,50.7974,39.1457,40.4151,51.5309,37.641,60.3932,49.6219,39.2645,37.2863,52.9955,36.5136,59.6085,48.2681,38.7025,34.8053,54.5541,35.6063,59.1198,47.4055,38.1572,32.7778,56.1656,34.8333,59.0292,46.9985,37.6257,31.1966,58.0432,34.189,59.2992,46.9248,37.2449,25.8405,62.4959,31.2577,60.1151,46.954,34.5392,21.2179,65.8818,27.8183,61.0296,47.2342,30.9009
H-ngram: BM25F Prec×1+Rati×1+Fact×1+Argu×1  n=7,39.3443,8,48.3128,74.2418,46.2558,46.5812,44.6373,37.7929,61.1407,52.7523,37.5603,43.5897,48.7979,38.2613,61.0669,51.686,39.0182,40.232,50.7356,37.3962,60.3609,50.3856,39.0866,37.8205,53.6051,37.0142,60.2417,49.5485,39.257,35.4701,55.2863,36.1964,59.8386,48.633,38.886,33.1624,56.3803,35.0832,59.5159,48.0703,38.0672,31.0023,57.1616,33.8884,59.2504,47.602,37.013,24.8148,60.5676,29.9626,59.3333,46.9751,33.1683,20.2137,63.3542,26.4395,59.9853,47.1045,29.4383
I-ngram: Fusion Prec×1+Rati×2+Fact×1+Argu×1  n=7,39.2868,7,49.4997,74.5674,46.5776,46.9231,44.9706,38.061,61.0605,52.13,37.836,43.7322,48.1899,38.2067,60.654,50.7637,39.1457,40.3541,50.7599,37.5014,60.1174,49.5142,39.2052,37.4466,52.9329,36.6808,59.6148,48.3262,38.8689,34.9478,54.8066,35.7914,59.2063,47.5186,38.3134,32.735,56.0379,34.7781,58.9424,46.9869,37.5766,31.08,58.0497,34.0925,59.225,46.8709,37.1058,25.9259,62.6109,31.3451,60.1702,47.0385,34.6535,21.2393,65.9747,27.8686,61.055,47.2853,30.932
I-grid: Fusion Prec×2 Ratio×3 Fact×1 Arg×1,39.2382,9,49.5779,75.2557,47.0253,46.4103,44.5367,37.6746,60.8599,51.7817,37.4225,43.2336,48.1374,37.9427,60.543,50.6276,38.6994,40.293,50.7947,37.4857,60.2274,49.6339,39.1459,37.7137,53.0145,36.9017,59.89,48.7269,39.1461,35.7075,55.4822,36.4946,59.8495,48.1696,39.1463,33.3761,56.9651,35.5238,59.6187,47.544,38.3125,31.6239,58.2645,34.71,59.6835,47.3142,37.7551,26.0684,62.8639,31.5256,60.4475,47.2608,34.8439,21.3462,66.9737,28.1103,61.5275,47.5958,31.0876
I-grid: Fusion Prec×2 Ratio×3 Fact×1 Arg×0,39.2331,8,49.1044,74.6329,47.1438,46.5812,44.4725,37.8093,60.7438,51.6452,37.5603,43.0199,47.4963,37.6455,60.1178,50.2031,38.5081,40.0488,49.8387,37.1276,59.7045,49.2075,38.9087,37.7137,52.425,36.7394,59.5702,48.5079,39.1461,35.5176,54.3265,36.1209,59.3039,47.7789,38.9381,33.2906,55.9704,35.2353,59.1227,47.1993,38.2144,31.5851,57.6662,34.5687,59.2945,47.0942,37.7087,25.7265,61.6151,31.0607,59.7487,46.8152,34.3869,21.2393,66.3322,27.9434,61.0614,47.246,30.932
H-ngram: BM25F Prec×1+Rati×1+Fact×1+Argu×1  n=10,39.2273,7,48.0561,74.2469,45.8033,46.5812,44.6796,37.8188,60.9942,52.4346,37.5603,43.5185,48.2931,38.0164,60.7565,51.3439,38.9544,40.293,50.5806,37.4367,60.1582,50.1114,39.1459,37.5,52.9099,36.655,59.7659,49.0391,38.9243,35.3276,55.1971,36.0658,59.5967,48.2834,38.7298,33.1197,56.2467,34.9976,59.3076,47.7467,38.0182,31.1966,57.5792,34.0369,59.2737,47.4322,37.2449,24.8433,60.6168,29.9509,59.2056,46.7202,33.2064,20.1923,63.452,26.4186,59.8559,46.8234,29.4072
I-ngram: Fusion Prec×1+Rati×2+Fact×1+Argu×1  n=6,39.2273,7,49.7336,75.111,46.6152,46.8376,44.9398,38.0171,61.2251,52.2895,37.7671,43.4473,48.0189,37.9959,60.6765,50.8622,38.8907,40.293,50.8443,37.5125,60.2968,49.6901,39.1459,37.3932,52.7432,36.5709,59.7349,48.506,38.8134,35.0427,54.4865,35.8242,59.3484,47.7486,38.4175,33.0769,56.7553,35.1488,59.4724,47.4493,37.9691,31.1189,58.1373,34.1804,59.435,47.0485,37.1521,25.8689,62.4167,31.2821,60.2754,47.197,34.5773,21.2821,66.2193,27.9579,61.3213,47.5321,30.9942
I-ngram: Fusion Prec×1+Rati×2+Fact×1+Argu×1  n=9,39.2207,6,49.5398,75.0576,47.0485,46.8376,44.8579,37.9948,61.1747,52.2411,37.7671,43.7322,48.7324,38.3177,60.9858,50.9448,39.1457,40.232,51.3895,37.5047,60.4029,49.5992,39.0866,37.1261,52.9006,36.3951,59.6398,48.2816,38.5362,34.6154,54.4239,35.4234,59.1309,47.4021,37.949,32.8205,56.1643,34.8418,59.1767,47.1531,37.6748,31.1966,58.0146,34.1712,59.4152,47.0434,37.2449,25.8689,62.5383,31.2829,60.2521,47.0684,34.5773,21.2179,65.7335,27.8164,61.1136,47.3606,30.9009
I-ngram: Fusion Prec×1+Rati×2+Fact×1+Argu×1  n=10,39.2207,6,49.6386,75.2705,47.1696,46.9231,44.8967,38.0482,61.3211,52.4035,37.836,43.7322,48.753,38.335,61.0812,51.0637,39.1457,40.1709,51.4662,37.5047,60.4867,49.6807,39.0273,37.2329,53.2131,36.5446,59.8705,48.4482,38.6471,34.6629,54.3905,35.4229,59.2524,47.5507,38.001,32.8632,56.0467,34.8226,59.2743,47.281,37.7238,31.1966,57.9286,34.1624,59.4881,47.1352,37.2449,25.8689,62.5515,31.2915,60.3532,47.1668,34.5773,21.1111,65.2903,27.6516,61.0533,47.397,30.7453
I-ngram: Fusion Prec×1+Rati×2+Fact×1+Argu×1  n=3,39.1679,7,49.5357,74.6328,45.5103,46.1538,44.2822,37.3974,60.5968,51.7119,37.2157,43.1624,48.4947,37.9755,60.5066,50.5863,38.6356,40.232,51.3084,37.6593,60.2409,49.5978,39.0866,37.6068,53.7615,37.0603,59.9484,48.6743,39.0352,34.9953,55.1458,35.9952,59.3681,47.6962,38.3654,32.8205,56.1649,34.9235,59.092,47.1512,37.6748,30.9246,57.3572,34.008,59.0434,46.817,36.9202,25.7835,62.6493,31.2827,60.1574,47.0365,34.4631,21.0897,66.2907,27.7708,61.107,47.3557,30.7142
I-grid: Fusion Prec×1 Ratio×2 Fact×0 Arg×1,39.122,8,47.2788,73.0026,44.0612,45.812,42.8918,36.9647,58.9044,49.9234,36.94,42.5214,46.1383,37.0149,58.4138,48.5927,38.0618,39.8657,49.0737,36.8537,58.2724,47.648,38.7307,37.6068,51.3216,36.5623,58.0511,46.9038,39.0352,34.9478,52.552,35.4455,57.391,45.8941,38.3134,32.7778,54.0701,34.5613,57.2115,45.3068,37.6257,30.7304,55.3085,33.535,57.0703,44.8314,36.6883,25.5556,60.5046,30.8371,58.1257,44.9703,34.1584,21.1111,65.334,27.735,59.4394,45.4436,30.7453
H-ngram: BM25F Prec×1+Rati×1+Fact×1+Argu×1  n=6,39.0108,8,48.3439,74.4883,46.4311,46.7521,44.9806,38.037,61.3533,52.9168,37.6981,43.4473,48.8255,38.2193,61.0576,51.6354,38.8907,39.9267,50.6134,37.2203,60.2212,50.2673,38.79,37.5,53.3642,36.7534,60.0696,49.3891,38.9243,35.3276,55.1935,36.0802,59.7908,48.6677,38.7298,32.9915,56.2113,34.9419,59.4178,47.9967,37.871,30.9246,57.1131,33.8327,59.2302,47.5774,36.9202,24.7578,60.6616,29.9607,59.3633,47.0034,33.0922,20.1709,63.349,26.4136,60.0007,47.1285,29.3761
I-grid: Fusion Prec×1 Ratio×3 Fact×1 Arg×0,39.0108,8,49.5098,74.7873,46.981,46.4957,44.3096,37.6568,60.8772,52.0269,37.4914,42.9487,47.0425,37.4164,60.1843,50.6186,38.4444,39.9878,49.5145,36.9931,59.7851,49.5729,38.8493,37.5,51.7422,36.4484,59.4555,48.7106,38.9243,35.1852,54.0733,35.7683,59.2229,47.861,38.5737,33.2479,56.4828,35.2338,59.3872,47.5784,38.1653,31.4685,58.4267,34.5647,59.5779,47.3782,37.5696,25.8974,62.4877,31.3059,60.2081,47.2264,34.6154,21.1325,66.0988,27.7409,61.1157,47.4633,30.7764
I2: Refined fusion Prec×3 + Ratio×3 + Fact×1 + Arg×1,38.9553,8,48.2043,73.6331,45.8804,46.2393,44.6173,37.6057,59.9774,50.5668,37.2846,42.6638,47.6028,37.4242,59.3218,49.1414,38.1894,39.9267,50.1518,37.1578,59.0388,48.2821,38.79,37.4466,52.2768,36.6122,58.7192,47.515,38.8689,35.1377,53.9742,35.8071,58.3583,46.6796,38.5216,33.1624,55.562,35.079,58.3004,46.2423,38.0672,31.2354,56.7135,34.1598,58.2212,45.9222,37.2913,25.812,62.1927,31.233,59.2634,45.9778,34.5011,21.0897,66.68,27.7694,60.3802,46.2825,30.7142
I-grid: Fusion Prec×3 Ratio×3 Fact×1 Arg×1,38.9553,8,48.2043,73.6331,45.8804,46.2393,44.6173,37.6057,59.9774,50.5668,37.2846,42.6638,47.6028,37.4242,59.3218,49.1414,38.1894,39.9267,50.1518,37.1578,59.0388,48.2821,38.79,37.4466,52.2768,36.6122,58.7192,47.515,38.8689,35.1377,53.9742,35.8071,58.3583,46.6796,38.5216,33.1624,55.562,35.079,58.3004,46.2423,38.0672,31.2354,56.7135,34.1598,58.2212,45.9222,37.2913,25.812,62.1927,31.233,59.2634,45.9778,34.5011,21.0897,66.68,27.7694,60.3802,46.2825,30.7142
I-grid: Fusion Prec×2 Ratio×2 Fact×1 Arg×0,38.8441,8,47.867,72.8745,45.7583,46.0684,44.1296,37.4028,59.6224,50.3707,37.1468,42.735,47.1601,37.3392,59.0951,49.0502,38.2531,39.4383,49.274,36.6482,58.4207,47.7335,38.3155,37.3397,51.6739,36.3598,58.3573,47.1689,38.758,35.1852,53.4314,35.7241,58.0472,46.4691,38.5737,33.0342,55.4271,34.9395,58.0162,46.0088,37.92,31.0023,56.4156,33.8734,57.8553,45.5918,37.013,25.641,61.1133,30.9376,58.7038,45.609,34.2727,21.0256,66.3111,27.6507,60.0201,45.9932,30.6208
H1: BM25F equal weights (all 7 roles),38.7886,8,48.7212,74.039,46.2177,45.812,44.6421,37.4477,60.8572,52.3672,36.94,42.5926,47.8254,37.4692,60.4509,51.1575,38.1256,39.6215,51.0228,37.1504,60.261,50.3035,38.4935,37.2863,53.7076,36.662,60.1584,49.5488,38.7025,34.8053,55.3046,35.697,59.6918,48.6409,38.1572,32.5641,56.2698,34.5762,59.3584,48.0383,37.3804,30.7692,57.3198,33.6887,59.3106,47.728,36.7347,24.5584,60.2172,29.724,59.2834,47.1411,32.8256,19.9573,63.2832,26.248,59.9805,47.2043,29.0649
I-grid: Fusion Prec×2 Ratio×2 Fact×1 Arg×1,38.7519,7,48.739,74.0511,45.9512,46.3248,44.4659,37.6577,60.3028,51.1311,37.3535,42.5214,47.0549,37.18,59.4421,49.4689,38.0618,39.8046,50.0731,37.0351,59.2738,48.6111,38.6714,37.2329,52.833,36.5659,59.055,47.7659,38.6471,34.9953,54.3664,35.7402,58.6831,46.9889,38.3654,33.0769,56.0592,35.0805,58.6813,46.6772,37.9691,31.0412,57.0563,33.9932,58.525,46.2673,37.0594,25.7265,62.1703,31.1164,59.4943,46.2887,34.3869,21.2393,67.2973,27.9578,60.8877,46.7599,30.932
I6: Refined fusion Prec×2 + Ratio×2 + Fact×1 + Arg×1 + Stat×0.5,38.6774,8,48.5297,73.7729,46.1732,46.1538,44.2163,37.6122,59.9464,50.6485,37.2157,42.5214,47.5718,37.3599,59.379,49.1722,38.0618,39.6215,50.6375,37.0947,59.1604,48.1854,38.4935,37.1795,53.0965,36.6717,58.9267,47.4348,38.5916,35.1852,54.8786,36.0516,58.7376,46.87,38.5737,33.1197,56.3807,35.225,58.635,46.4432,38.0182,31.2354,57.4576,34.2286,58.5892,46.1653,37.2913,25.7265,62.2288,31.1707,59.4086,46.1162,34.3869,21.1752,67.41,27.9153,60.7668,46.5564,30.8386
I-grid: Fusion Prec×3 Ratio×3 Fact×1 Arg×0,38.6642,9,47.4544,72.9776,45.3418,45.3846,43.3788,36.8614,58.964,49.5998,36.5955,42.4501,46.4228,37.0322,58.5977,48.5224,37.9981,39.5604,49.3312,36.7395,58.3234,47.5449,38.4342,37.0726,51.3891,36.077,57.9861,46.6772,38.4807,35.1852,53.8521,35.7831,57.9853,46.1826,38.5737,33.0342,55.0,34.8288,57.7435,45.7017,37.92,31.1577,56.9967,34.0793,57.8954,45.4163,37.1985,25.6695,61.4196,31.0035,58.637,45.4067,34.3107,20.9188,65.7595,27.5166,59.6891,45.6232,30.4652
I-grid: Fusion Prec×1 Ratio×3 Fact×0 Arg×1,38.5736,7,47.8018,73.8626,44.711,45.812,41.8152,36.658,59.0542,50.3686,36.94,42.8775,45.7173,37.0998,58.9214,49.2164,38.3806,39.6215,48.5764,36.5757,58.4603,48.1046,38.4935,36.9658,50.579,35.9377,57.9905,47.1031,38.3698,34.7104,52.479,35.2732,57.6633,46.2496,38.0531,32.9487,54.6528,34.7494,57.8322,45.9318,37.8219,31.3908,56.6932,34.2827,58.1306,45.782,37.4768,25.4986,60.7091,30.8083,58.5788,45.4666,34.0823,21.1111,64.1493,27.6571,59.6147,45.9176,30.7453
H-ngram: BM25F Prec×1+Rati×1+Fact×1+Argu×1  n=5,38.5107,8,47.8412,73.8434,45.7404,46.3248,44.3979,37.6828,60.7702,52.4311,37.3535,42.8063,48.3546,37.7022,60.3948,51.0028,38.3169,39.4994,50.222,36.825,59.6707,49.7075,38.3749,37.0192,52.6245,36.2895,59.3869,48.8071,38.4253,34.6629,54.1072,35.3885,58.9223,47.9511,38.001,32.265,55.3041,34.186,58.5519,47.2447,37.037,30.6138,56.7365,33.5081,58.6607,47.0429,36.5492,24.5299,59.92,29.6996,58.732,46.4449,32.7875,20.0,63.1214,26.2315,59.4881,46.5709,29.1271
I-grid: Fusion Prec×2 Ratio×3 Fact×0 Arg×1,38.5107,8,46.5728,72.4198,43.5274,46.0684,42.2169,36.9546,58.5937,49.564,37.1468,42.1652,45.3548,36.7102,57.7473,47.8161,37.7431,39.4994,47.8994,36.404,57.5028,46.9645,38.3749,37.0192,50.0574,35.9123,57.1647,46.1232,38.4253,34.4255,51.3018,34.8779,56.515,45.0489,37.7408,32.6923,53.543,34.4359,56.6809,44.7123,37.5276,31.1189,55.659,33.8801,56.9802,44.6341,37.1521,25.5271,60.8702,30.8534,57.8495,44.5082,34.1203,20.9615,64.6848,27.529,58.8605,44.785,30.5275
I-grid: Fusion Prec×3 Ratio×2 Fact×1 Arg×1,38.4551,8,46.9247,72.5488,43.8724,45.3846,43.7616,36.9347,58.7837,49.3102,36.5955,41.7379,46.4404,36.6368,57.9377,47.6815,37.3605,39.2552,49.3103,36.4782,57.857,46.9292,38.1376,36.9658,52.1794,36.306,57.7795,46.2297,38.3698,34.5204,53.4868,35.2638,57.2583,45.3568,37.8449,32.6496,55.294,34.6459,57.3013,45.0132,37.4785,30.8469,56.283,33.7469,57.2254,44.7206,36.8275,25.4986,62.1636,30.8396,58.31,44.6951,34.0823,20.9188,66.5896,27.5556,59.4717,45.0588,30.4652
I1: Refined fusion equal (Fact+Arg+Prec+Ratio),38.2764,7,48.5574,73.8443,45.4505,46.2393,44.5848,37.5734,60.3574,51.2128,37.2846,42.5926,47.7347,37.3783,59.6906,49.7373,38.1256,39.3162,50.1749,36.7171,59.1377,48.4023,38.1969,36.5385,52.4275,35.9983,58.703,47.3814,37.9263,34.188,53.7508,35.0574,58.1984,46.4781,37.4805,32.094,54.9471,34.1253,57.9574,46.0098,36.8408,30.1865,56.5976,33.2655,57.9907,45.6742,36.039,25.4416,61.6783,30.8192,59.1732,45.9751,34.0061,20.7265,65.4085,27.2973,60.0822,46.2165,30.1852
I-grid: Fusion Prec×1 Ratio×1 Fact×1 Arg×1,38.2764,7,48.5574,73.8443,45.4505,46.2393,44.5848,37.5734,60.3574,51.2128,37.2846,42.5926,47.7347,37.3783,59.6906,49.7373,38.1256,39.3162,50.1749,36.7171,59.1377,48.4023,38.1969,36.5385,52.4275,35.9983,58.703,47.3814,37.9263,34.188,53.7508,35.0574,58.1984,46.4781,37.4805,32.094,54.9471,34.1253,57.9574,46.0098,36.8408,30.1865,56.5976,33.2655,57.9907,45.6742,36.039,25.4416,61.6783,30.8192,59.1732,45.9751,34.0061,20.7265,65.4085,27.2973,60.0822,46.2165,30.1852
H-grid: BM25F Prec×1 Ratio×1 Fact×1 Arg×1,38.2328,8,47.0514,73.0409,44.8783,45.5556,43.8252,37.0574,59.8973,51.434,36.7333,41.8091,47.5335,36.8449,59.3565,49.8811,37.4243,39.011,50.1216,36.4117,59.0477,48.8914,37.9004,36.7521,52.2864,35.9752,58.805,48.074,38.148,34.188,53.7467,34.9749,58.2312,47.1065,37.4805,31.7949,54.5573,33.7115,57.7715,46.449,36.4974,29.798,55.3976,32.6188,57.5761,46.0561,35.5751,23.9886,59.037,29.0701,57.8165,45.5066,32.064,19.6368,62.0404,25.806,58.5887,45.7054,28.5981
H-ngram: BM25F Prec×1+Rati×1+Fact×1+Argu×1  n=4,38.2328,8,47.0514,73.0409,44.8783,45.5556,43.8252,37.0574,59.8973,51.434,36.7333,41.8091,47.5335,36.8449,59.3565,49.8811,37.4243,39.011,50.1216,36.4117,59.0477,48.8914,37.9004,36.7521,52.2864,35.9752,58.805,48.074,38.148,34.188,53.7467,34.9749,58.2312,47.1065,37.4805,31.7949,54.5573,33.7115,57.7715,46.449,36.4974,29.798,55.3976,32.6188,57.5761,46.0561,35.5751,23.9886,59.037,29.0701,57.8165,45.5066,32.064,19.6368,62.0404,25.806,58.5887,45.7054,28.5981
I-grid: Fusion Prec×1 Ratio×1 Fact×0 Arg×1,38.2169,7,45.6702,71.1223,42.3822,45.5556,42.1872,36.4242,57.9114,48.8019,36.7333,41.8803,45.235,36.2862,57.1117,47.0203,37.488,39.2552,48.2037,36.2786,56.9289,46.2375,38.1376,36.1645,49.5699,35.1411,56.1078,45.0037,37.5381,34.1406,51.4867,34.5805,55.8753,44.2788,37.4284,31.9658,52.8027,33.6555,55.6252,43.7156,36.6936,30.1088,54.0252,32.78,55.5724,43.2814,35.9462,25.0997,60.1997,30.3413,56.8666,43.4164,33.5491,20.6624,64.2061,27.1657,57.9601,43.7979,30.0918
I-grid: Fusion Prec×1 Ratio×1 Fact×1 Arg×0,38.1987,6,48.2839,73.7124,45.5055,45.812,44.0643,37.2614,60.0225,50.9265,36.94,42.5926,47.0243,37.1895,59.5438,49.6711,38.1256,39.072,49.3035,36.3693,58.7941,48.2118,37.9597,36.5385,51.7181,35.8475,58.5067,47.2642,37.9263,33.9506,52.8583,34.692,57.853,46.2509,37.2202,32.3504,54.8368,34.3157,58.0303,46.0657,37.1351,30.575,56.0634,33.5089,58.0308,45.8258,36.5028,25.1567,59.4261,30.3064,58.4908,45.68,33.6253,20.8974,64.9892,27.3972,60.0017,46.2049,30.4341
I-grid: Fusion Prec×2 Ratio×2 Fact×0 Arg×1,38.1773,8,45.3705,71.22,42.6435,45.812,42.2609,36.741,57.7587,48.4607,36.94,41.8803,45.1764,36.349,56.8668,46.6383,37.488,39.072,47.7688,36.1089,56.5203,45.7727,37.9597,36.6987,50.0398,35.5916,56.2687,44.9927,38.0926,34.4729,51.5477,34.8828,55.8442,44.0946,37.7928,32.265,53.2322,33.9705,55.6846,43.5816,37.037,30.3807,54.5516,33.1288,55.6387,43.2177,36.2709,25.0997,59.7683,30.2969,56.5918,43.1751,33.5491,20.8761,64.4225,27.4448,57.9682,43.6865,30.403
I3: Refined fusion Prec×5 + Ratio×3 + Fact×1 + Arg×1,38.1575,7,45.4638,71.8879,42.3479,45.3846,43.6602,36.8956,58.0883,48.4069,36.5955,42.094,46.6043,36.8677,57.5033,46.8939,37.6793,39.1941,49.2641,36.3831,57.1963,45.9831,38.0783,36.2714,50.9723,35.4683,56.5246,44.8327,37.649,34.1406,52.836,34.8521,56.251,44.0736,37.4284,32.1795,54.2126,34.0466,56.1319,43.6989,36.9389,30.4973,56.1108,33.378,56.3386,43.4726,36.41,25.0142,60.5157,30.2069,56.9949,43.2978,33.4349,20.5556,64.9356,27.0547,58.1513,43.6409,29.9362
I-grid: Fusion Prec×5 Ratio×3 Fact×1 Arg×1,38.1575,7,45.4638,71.8879,42.3479,45.3846,43.6602,36.8956,58.0883,48.4069,36.5955,42.094,46.6043,36.8677,57.5033,46.8939,37.6793,39.1941,49.2641,36.3831,57.1963,45.9831,38.0783,36.2714,50.9723,35.4683,56.5246,44.8327,37.649,34.1406,52.836,34.8521,56.251,44.0736,37.4284,32.1795,54.2126,34.0466,56.1319,43.6989,36.9389,30.4973,56.1108,33.378,56.3386,43.4726,36.41,25.0142,60.5157,30.2069,56.9949,43.2978,33.4349,20.5556,64.9356,27.0547,58.1513,43.6409,29.9362
I-ngram: Fusion Prec×1+Rati×2+Fact×1+Argu×1  n=2,37.9792,7,48.4086,74.0874,45.0964,45.8974,43.9551,37.0643,60.0512,51.0889,37.009,42.2365,47.7881,37.1215,59.5552,49.5709,37.8068,39.011,50.1497,36.5054,59.0225,48.3764,37.9004,36.2179,52.2583,35.7811,58.5233,47.3112,37.5936,34.188,54.1773,35.1911,58.3294,46.615,37.4805,32.3504,56.2547,34.5715,58.44,46.2877,37.1351,30.3807,57.3712,33.6029,58.3275,45.9088,36.2709,24.9573,62.061,30.4473,59.1257,45.8705,33.3587,20.5983,65.974,27.2866,60.2604,46.2675,29.9984
