model,_micro_f1,_micro_k,MAP,MRR,R-Precision,n_queries,P@5,R@5,F1@5,NDCG@5,MAP@5,MicroF1@5,P@6,R@6,F1@6,NDCG@6,MAP@6,MicroF1@6,P@7,R@7,F1@7,NDCG@7,MAP@7,MicroF1@7,P@8,R@8,F1@8,NDCG@8,MAP@8,MicroF1@8,P@9,R@9,F1@9,NDCG@9,MAP@9,MicroF1@9,P@10,R@10,F1@10,NDCG@10,MAP@10,MicroF1@10,P@11,R@11,F1@11,NDCG@11,MAP@11,MicroF1@11,P@15,R@15,F1@15,NDCG@15,MAP@15,MicroF1@15,P@20,R@20,F1@20,NDCG@20,MAP@20,MicroF1@20
C1: Label role term ×3 for Precedent+Ratio,43.5677,8,58.1217,79.0796,53.7772,234,50.9402,50.0851,41.8613,67.8222,60.0369,41.0751,47.2222,54.2098,42.0,67.5124,58.8261,42.2697,44.7497,58.0572,42.1954,67.8605,58.3706,43.4757,41.8803,60.3966,41.4993,67.5246,57.5873,43.471,39.5062,62.493,40.79,67.3139,56.903,43.3108,37.2222,64.3886,39.8291,67.2873,56.5215,42.7275,35.0427,65.8038,38.7629,67.2635,56.1683,41.8367,28.6895,69.8341,34.8818,67.8394,56.0471,38.3473,23.0983,72.5224,30.4349,68.3935,56.1826,33.6393
C5: Label role term ×3 for Fact+Prec+Ratio,43.5168,9,57.4073,78.6999,53.3852,234,50.5983,49.7388,41.5865,67.0745,58.9653,40.7994,47.2934,54.458,42.0743,67.1266,58.1306,42.3334,44.5055,57.9149,42.0485,67.2145,57.4894,43.2384,41.5598,60.3239,41.2032,66.8825,56.6273,43.1383,39.6011,63.2561,40.9099,67.0798,56.3119,43.4149,37.5214,65.266,40.174,67.1836,56.0859,43.0709,35.1593,66.2224,38.8764,66.9616,55.5899,41.9759,28.6325,70.0656,34.8312,67.4277,55.3921,38.2711,23.0128,72.3949,30.3449,67.8917,55.5071,33.5149
C4: Label role term ×5 for all roles,43.2038,9,57.5335,79.0791,53.4604,234,50.3419,49.6514,41.4604,67.1358,59.0788,40.5927,46.9373,53.5298,41.5949,66.935,58.0712,42.0147,44.3223,57.9734,41.8969,67.3495,57.589,43.0605,41.5064,60.2158,41.1413,67.0298,56.8151,43.0829,39.3162,62.5565,40.602,66.9737,56.3076,43.1026,37.1795,64.7977,39.8124,67.108,56.0387,42.6784,34.9262,65.9477,38.6325,66.9806,55.6161,41.6976,28.5755,69.922,34.7544,67.5442,55.5282,38.195,22.9701,72.269,30.2911,68.0105,55.6204,33.4526
A5: Fact + Precedent + Ratio,42.7897,8,55.6591,77.1801,51.1128,234,50.8547,49.6039,41.7031,66.3843,58.2938,41.0062,47.0085,52.9398,41.5744,65.825,56.8797,42.0784,43.7729,55.6297,41.0176,65.4762,55.9507,42.5267,41.1325,58.2144,40.4844,65.306,55.2056,42.6948,38.509,59.7914,39.4349,64.8532,54.2686,42.2176,36.4103,61.7842,38.7136,64.9259,53.9043,41.7954,34.4211,63.9949,37.8694,65.1602,53.7727,41.0946,28.4046,67.9492,34.3581,65.8007,53.7683,37.9665,22.9274,70.182,30.0113,66.2469,53.8817,33.3904
E: Fact+Arg+Prec+Ratio  n=2  scheme=log,42.5674,8,57.0499,79.3116,52.7233,234,50.4274,49.8372,41.5222,67.2963,59.1137,40.6616,46.9373,53.2768,41.5404,66.9356,58.0598,42.0147,43.7118,56.2051,41.1814,66.6339,57.2118,42.4674,40.9188,58.2271,40.4008,66.2474,56.3026,42.473,38.5565,61.062,39.8202,66.2326,55.5764,42.2697,36.0684,63.3152,38.7352,66.1986,55.0508,41.403,34.0715,64.5254,37.7297,66.1878,54.7807,40.6772,28.3191,69.5436,34.4732,67.2354,55.0331,37.8522,22.9487,71.9984,30.2332,67.8268,55.2364,33.4215
A4: Precedent + RatioOfTheDecision,41.8035,7,51.9616,76.3394,48.2626,232,49.1379,45.9087,39.8715,63.3309,54.9945,39.5147,45.8333,49.4872,40.0586,63.0334,53.7651,40.9368,43.1034,52.712,40.0176,62.9797,53.0716,41.8035,40.2478,54.6038,39.2343,62.4764,52.1035,41.7202,37.6437,56.6942,38.3313,62.1016,51.1251,41.2274,35.431,58.484,37.4738,61.9984,50.6125,40.6428,33.3856,59.9214,36.5211,61.9763,50.2746,39.841,27.1264,64.017,32.7286,62.4127,49.9427,36.2728,22.2845,68.2909,29.2435,63.5479,50.3829,32.4902
F: Paper-RR (asymmetric) n=3 augmented,41.1887,7,53.9186,76.8394,50.946,234,48.8034,49.1741,40.4645,64.8101,56.2377,39.3522,45.3704,52.1572,40.2935,64.3164,54.9518,40.612,42.3077,54.8991,39.8159,64.0539,54.1585,41.1032,39.4231,56.7574,38.89,63.5591,53.1294,40.9204,37.132,58.4992,38.0855,63.2602,52.3788,40.708,34.7863,60.0553,37.0712,63.0813,51.7818,39.9313,32.9448,61.7385,36.254,63.219,51.5941,39.3321,27.208,66.4293,33.0384,64.0382,51.6022,36.3671,22.1795,69.4816,29.1482,64.8206,51.8991,32.3012
A9: Statute + Precedent + Ratio,41.05,8,51.3191,76.1862,46.9692,232,48.6207,45.6774,39.4414,62.7508,54.011,39.0988,44.7557,49.1932,39.4042,62.1057,52.5199,39.9743,41.9951,52.2881,39.2252,61.9963,51.6748,40.7286,39.6013,54.6054,38.7727,61.8036,50.9404,41.05,37.3084,56.3014,38.027,61.4581,50.2116,40.8602,35.5172,58.3098,37.5369,61.6163,49.9459,40.7417,33.3464,60.2086,36.4991,61.6457,49.5739,39.7942,27.2414,64.3501,32.9486,62.2055,49.3899,36.4265,22.1121,67.5549,29.0569,62.9372,49.6067,32.2388
F: Paper-RR (asymmetric) n=4 augmented,41.0114,8,54.0926,76.5631,51.135,234,48.7179,49.1364,40.3165,64.8704,56.4778,39.2833,45.0142,52.1663,40.0142,64.262,55.0797,40.2933,42.0024,54.4904,39.3892,63.9191,54.1561,40.8066,39.4231,57.0205,38.9129,63.7081,53.2649,40.9204,36.8946,58.5654,37.8927,63.2634,52.3986,40.4477,34.8718,60.3412,37.141,63.2774,51.9904,40.0294,33.0225,61.7477,36.3135,63.3574,51.816,39.4249,27.1795,65.9258,32.9013,64.0012,51.7247,36.329,22.2009,69.1401,29.1335,64.8384,52.0575,32.3323
F: Paper-RR (asymmetric) n=3 binary,40.7891,8,53.5213,76.5631,50.4853,234,48.1197,47.9826,39.7298,64.0956,55.7353,38.8008,45.0142,51.5913,39.9959,63.8965,54.5779,40.2933,41.6972,54.0279,39.2529,63.433,53.596,40.5101,39.2094,56.4338,38.6776,63.2535,52.801,40.6986,36.7047,58.1921,37.7416,62.8631,51.887,40.2395,34.5299,60.2426,36.889,62.8872,51.4518,39.637,32.6729,61.4952,35.9879,62.923,51.2464,39.0074,27.0085,65.8623,32.7474,63.6559,51.2345,36.1005,22.1154,69.3344,29.065,64.5986,51.6246,32.2079
